plugin_id,severity,name
21023,MEDIUM,Dropbear SSH Authorization-pending Connection Saturation DoS
21078,HIGH,MS06-012: Vulnerabilities in Microsoft Office Could Allow Remote Code Execution (905413)
21079,MEDIUM,Flash Player swf Processing Multiple Unspecified Code Execution (APSB06-03)
21193,CRITICAL,MS05-047: Plug and Play Remote Code Execution and Local Privilege Elevation (905749) (uncredentialed check)
21211,MEDIUM,MS06-014: Vulnerability in MDAC Could Allow Code Execution (911562)
21556,HIGH,QuickTime < 7.1 Multiple Vulnerabilities (Windows)
21655,CRITICAL,MS04-012: Cumulative Update for Microsoft RPC/DCOM (828741) (uncredentialed check)
21686,MEDIUM,MS06-022: Vulnerability in ART Image Rendering Could Allow Remote Code Execution (918439)
21687,MEDIUM,MS06-023: Vulnerability in Microsoft JScript Could Allow Remote Code Execution (917344)
21689,HIGH,MS06-025: Vulnerability in Routing and Remote Access Could Allow Remote Code Execution (911280)
21690,HIGH,MS06-027: Vulnerabilities in Microsoft Word Could Allow Remote Code Execution (917336)
21692,CRITICAL,MS06-030: Vulnerability in Server Message Block Could Allow Elevation of Privilege (914389)
21694,HIGH,MS06-032: Vulnerability in TCP/IP Could Allow Remote Code Execution (917953)
21698,MEDIUM,Adobe Reader < 7.0.8 Multiple Unspecified Vulnerabilities
22028,MEDIUM,MS06-034: Vulnerability in Microsoft IIS using ASP Could Allow Remote Code Execution (917537)
22030,HIGH,MS06-036: Vulnerability in DHCP Client Service Could Allow Remote Code Execution (914388)
22031,MEDIUM,MS06-037: Vulnerabilities in Microsoft Excel Could Allow Remote Code Execution (917285)
22032,MEDIUM,MS06-038: Vulnerabilities in Microsoft Office Could Allow Remote Code Execution (917284)
22033,MEDIUM,MS06-039: Vulnerabilities in Microsoft Office Filters Could Allow Remote Code Execution (915384)
22034,HIGH,MS06-035: Vulnerability in Server Service Could Allow Remote Code Execution (917159) (uncredentialed check)
22056,CRITICAL,Flash Player Multiple Vulnerabilities (APSB06-11)
22183,CRITICAL,MS06-041: Vulnerability in DNS Resolution Could Allow Remote Code Execution (920683)
22188,HIGH,MS06-046: Vulnerability in HTML Help Could Allow Remote Code Execution (922616)
22189,MEDIUM,MS06-047: Vulnerability in Microsoft Visual Basic for Applications Could Allow Remote Code Execution (921645)
22190,HIGH,MS06-048: Vulnerabilities in Microsoft Office Could Allow Remote Code Execution (922968)
22192,HIGH,MS06-050: Vulnerabilities in Microsoft Windows Hyperlink Object Library Could Allow Remote Code Execution (920670)
22194,CRITICAL,MS06-040: Vulnerability in Server Service Could Allow Remote Code Execution (921883) (uncredentialed check)
22268,HIGH,PHP < 4.4.3 / 5.1.4 Multiple Vulnerabilities
22333,MEDIUM,MS06-053: Vulnerability in Indexing Service Could Allow XSS (920685)
22334,MEDIUM,MS06-054: Vulnerability in Microsoft Publisher Could Allow Remote Code Execution (910729)
22336,HIGH,QuickTime < 7.1.3 Multiple Vulnerabilities (Windows)
22510,HIGH,CA BrightStor ARCserve Backup for Windows Multiple Remote Buffer Overflows (QO81201)
22529,MEDIUM,MS06-056: Vulnerabilities in ASP.NET could allow information disclosure (922770)
22530,HIGH,MS06-057: Vulnerability in Windows Explorer Could Allow Remote Execution (923191)
22532,HIGH,MS06-059: Vulnerabilities in Microsoft Excel Could Allow Remote Code Execution (924164)
22533,MEDIUM,MS06-060: Vulnerabilities in Microsoft Word Could Allow Remote Code Execution (924554)
22534,HIGH,MS06-061: Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution (924191)
22535,MEDIUM,MS06-062: Vulnerabilities in Microsoft Office Could Allow Remote Code Execution (922581)
22536,HIGH,MS06-063: Vulnerability in Server Service Could Allow Denial of Service (923414)
22537,MEDIUM,MS06-064: Vulnerability in TCP/IP IPv6 Could Allow Denial of Service (922819)
22538,MEDIUM,MS06-065: Vulnerability in Windows Object Packager Could Allow Remote Execution (924496)
23643,HIGH,MS06-066: Vulnerability in the Client Service for NetWare Could Allow Remote Code Execution (923980)
23644,HIGH,MS06-067: Cumulative Security Update for Internet Explorer (922760)
23645,HIGH,MS06-068: Vulnerability in Microsoft Agent Could Remote Code Execution (920213)
23776,HIGH,Adobe Reader < 8.0 AcroPDF ActiveX Control Multiple Vulnerabilities
23833,HIGH,MS06-072: Cumulative Security Update for Internet Explorer (925454)
23837,CRITICAL,MS06-074: Vulnerability in SNMP Could Allow Remote Code Execution (926247)
23838,HIGH,MS06-078: Vulnerability in Windows Media Format Could Allow Remote Code Execution (923689/925398)
23841,HIGH,CA BrightStor ARCserve Backup Discovery Service Overflow
23869,MEDIUM,Flash Player HTTP Header CRLF Injection (APSB06-18)
23931,HIGH,Sun Java JRE Multiple Vulnerabilities (102729 / 102732)
23975,HIGH,Adobe PDF Plug-In < 8.0 / 7.0.9 / 6.0.6 Multiple Vulnerabilities (APSB07-01)
23998,HIGH,MS07-002: Vulnerabilities in Microsoft Excel Could Allow Remote Code Execution (927198)
23999,HIGH,MS07-003: Vulnerabilities in Microsoft Outlook Could Allow Remote Code Execution (925938)
24002,HIGH,Adobe Reader < 6.0.6 / 7.0.9 Multiple Vulnerabilities
24015,CRITICAL,CA BrightStor ARCserve Backup Multiple Vulnerabilities (QO84983)
24022,HIGH,Sun Java JRE GIF Image Handling Buffer Overflow (102760)
24330,HIGH,MS07-006: Vulnerability in Windows Shell Could Allow Elevation of Privilege (928255)
24332,HIGH,MS07-008: Vulnerability in HTML Help ActiveX Control Could Allow Remote Code Execution (928843)
24335,HIGH,MS07-011: Vulnerability in Microsoft OLE Dialog Could Allow Remote Code Execution (926436)
24337,HIGH,MS07-013: Vulnerability in Microsoft RichEdit Could Allow Remote Code Execution (918118)
24338,HIGH,MS07-014: Vulnerabilities in Microsoft Word Could Allow Remote Code Execution (929434)
24339,HIGH,MS07-015: Vulnerabilities in Microsoft Office Could Allow Remote Code Execution (932554)
24340,CRITICAL,MS07-016: Cumulative Security Update for Internet Explorer (928090)
24761,HIGH,QuickTime < 7.1.5 Multiple Vulnerabilities (Windows)
24816,CRITICAL,CA BrightStor ARCserve Backup Tape Engine and Portmapper Multiple Vulnerabilities (QO86255)
24906,HIGH,PHP < 4.4.5 Multiple Vulnerabilities
24911,HIGH,MS07-017: Vulnerabilities in GDI Could Allow Remote Code Execution (925902)
25025,HIGH,MS07-022: Vulnerability in Windows Kernel Could Allow Elevation of Privilege (931784)
25086,CRITICAL,CA BrightStor ARCserve Backup Multiple Vulnerabilities (QO87569)
25123,HIGH,QuickTime < 7.1.6 quicktime.util.QTHandleRef toQTPointer Method Arbitrary Code Execution (Windows)
25124,HIGH,Sun Java Web Start Unauthorized Access (102881)
25162,HIGH,MS07-023: Vulnerabilities in Microsoft Excel Could Allow Remote Code Execution (934233)
25163,HIGH,MS07-024: Vulnerabilities in Microsoft Word Could Allow Remote Code Execution (934232)
25164,HIGH,MS07-025: Vulnerabilities in Microsoft Office Could Allow Remote Code Execution (934873)
25166,HIGH,MS07-027: Cumulative Security Update for Internet Explorer (931768)
25167,HIGH,MS07-028: Vulnerability in CAPICOM Could Allow Remote Code Execution (931906) (deprecated)
25347,HIGH,QuickTime < 7.1.6 Security Update (Windows)
25368,HIGH,PHP < 5.2.3 Multiple Vulnerabilities
25370,HIGH,Sun Java JRE Image Parsing Vulnerabilities (102934)
25484,HIGH,MS07-031: Vulnerability in the Windows Schannel Security Package Could Allow Remote Code Execution (935840)
25486,HIGH,MS07-033: Cumulative Security Update for Internet Explorer (933566)
25488,HIGH,MS07-035: Vulnerability in Win 32 API Could Allow Remote Code Execution (935839)
25627,HIGH,Sun Java Web Start PersistenceService Application Traversal Arbitrary File Overwrite (102957)
25687,HIGH,MS07-036: Vulnerabilities in Microsoft Excel Could Allow Remote Code Execution (936542)
25688,HIGH,MS07-037: Vulnerability in Microsoft Publisher Could Allow Remote Code Execution (936548)
25691,HIGH,MS07-040: Vulnerabilities in .NET Framework Could Allow Remote Code Execution (931212)
25693,MEDIUM,Sun Java Web Start JNLP File Handling Overflow (102996)
25694,HIGH,Flash Player Multiple Vulnerabilities (APSB07-12)
25703,HIGH,QuickTime < 7.2 Multiple Vulnerabilities (Windows)
25709,HIGH,Sun Java JRE XML Signature Command Injection (102993)
25880,HIGH,MS07-042: Vulnerability in Microsoft XML Core Services Could Allow Remote Code Execution (936227)
25882,HIGH,MS07-044: Vulnerabilities in Microsoft Excel Could Allow Remote Code Execution (940965)
25883,HIGH,MS07-045: Cumulative Security Update for Internet Explorer (937143)
25884,HIGH,MS07-046: Vulnerability in GDI Could Allow Remote Code Execution (938829)
25886,HIGH,MS07-050: Vulnerability in Vector Markup Language Could Allow Remote Code Execution (938127)
25903,HIGH,Sun Java JRE Font Parsing Privilege Escalation (103024)
25971,MEDIUM,PHP < 5.2.4 Multiple Vulnerabilities
26916,HIGH,QuickTime < 7.2 Security Update (Windows)
26923,HIGH,Sun Java JRE / Web Start Multiple Vulnerabilities (103072, 103073, 103078, 103079, 103112)
26962,HIGH,MS07-056: Cumulative Security Update for Outlook Express and Windows Mail (941202)
26963,HIGH,MS07-057: Cumulative Security Update for Internet Explorer (939653)
26970,CRITICAL,CA BrightStor ARCserve Backup Multiple Remote Vulnerabilities (QO91094)
27525,HIGH,Microsoft Office Service Pack Out of Date
27584,HIGH,Adobe Reader < 8.1.1 Crafted PDF File Arbitrary Code Execution 
27626,HIGH,QuickTime < 7.3 Multiple Vulnerabilities (Windows)
28181,MEDIUM,PHP < 5.2.5 Multiple Vulnerabilities
28183,HIGH,MS07-061: Vulnerability in Windows URI Handling Could Allow Remote Code Execution (943460)
28185,MEDIUM,Macrovision SafeDisc secdrv.sys Crafted METHOD_NEITHER IOCTL Local Overflow
29308,HIGH,MS07-064: Vulnerabilities in DirectX Could Allow Remote Code Execution (941568)
29311,MEDIUM,MS07-067: Vulnerability in Macrovision Driver Could Allow Local Elevation of Privilege (944653)
29312,HIGH,MS07-068: Vulnerability in Windows Media File Format Could Allow Remote Code Execution (941569 / 944275)
29313,HIGH,MS07-069: Cumulative Security Update for Internet Explorer (942615)
29698,HIGH,QuickTime < 7.3.1 Multiple Vulnerabilities (Windows)
29741,HIGH,Flash Player < 7.0.73.0 / 9.0.115.0 Multiple Vulnerabilities (APSB07-20)
29833,HIGH,PHP < 4.4.8 Multiple Vulnerabilities
29893,CRITICAL,MS08-001: Vulnerabilities in Windows TCP/IP Could Allow Remote Code Execution (941644)
29894,HIGH,MS08-002: Vulnerability in LSASS Could Allow Local Elevation of Privilege (943485)
29982,HIGH,QuickTime < 7.4 Multiple Vulnerabilities (Windows)
30148,MEDIUM,Sun Java JRE jpiexp32.dll NULL Pointer Remote DoS
30149,HIGH,Sun Java JRE External XML Entities Restriction Bypass (231246)
30200,HIGH,Adobe Reader < 7.1.0 / 8.1.2 Multiple Vulnerabilities
30204,HIGH,QuickTime < 7.4.1 RTSP Response Long Reason-Phrase Arbitrary Remote Code Execution (Windows)
31039,MEDIUM,MS08-005: Vulnerability in Internet Information Services Could Allow Elevation of Privilege (942831)
31040,MEDIUM,MS08-006: Vulnerability in Internet Information Services Could Allow Remote Code Execution (942830)
31041,HIGH,MS08-007: Vulnerability in WebDAV Mini-Redirector Could Allow Remote Code Execution (946026)
31042,HIGH,MS08-008: Vulnerability in OLE Automation Could Allow Remote Code Execution (947890)
31044,HIGH,MS08-010: Cumulative Security Update for Internet Explorer (944533)
31046,HIGH,MS08-012: Vulnerability in Microsoft Publisher Could Allow Remote Code Execution (947085)
31047,HIGH,MS08-013: Vulnerability in Microsoft Office Could Allow Remote Code Execution (947108)
31344,HIGH,Sun Java JRE Applet Handling Privilege Escalation (231261)
31356,HIGH,Sun Java JRE Multiple Vulnerabilities (233321-233327)
31408,MEDIUM,Apache 1.3.x < 1.3.41 Multiple Vulnerabilities (DoS, XSS)
31413,HIGH,MS08-014: Vulnerabilities in Microsoft Excel Could Allow Remote Code Execution (949029)
31414,HIGH,MS08-015: Vulnerability in Microsoft Outlook Could Allow Remote Code Execution (949031)
31415,HIGH,MS08-016: Vulnerabilities in Microsoft Office Could Allow Remote Code Execution (949030)
31654,HIGH,Apache < 1.3.37 mod_rewrite LDAP Protocol URL Handling Overflow
31735,HIGH,QuickTime < 7.4.5 Multiple Vulnerabilities (Windows)
31793,MEDIUM,MS08-020: Vulnerability in DNS Client Could Allow Spoofing (945553)
31794,HIGH,MS08-021: Vulnerabilities in GDI Could Allow Remote Code Execution (948590)
31795,MEDIUM,MS08-022: Vulnerability in VBScript and JScript Scripting Engines Could Allow Remote Code Execution (944338)
31797,HIGH,MS08-024: Cumulative Security Update for Internet Explorer (947864)
31798,HIGH,MS08-025: Vulnerability in Windows Kernel Could Allow Elevation of Privilege (941693)
31799,HIGH,Flash Player < 8.0.42.0 / 9.0.124.0 Multiple Vulnerabilities (APSB08-11)
32123,HIGH,PHP < 5.2.6 Multiple Vulnerabilities
32310,HIGH,MS08-026: Vulnerabilities in Microsoft Word Could Allow Remote Code Execution (951207)
32311,HIGH,MS08-027: Vulnerability in Microsoft Publisher Could Allow Remote Code Execution (951208)
32312,HIGH,MS08-028: Vulnerability in Microsoft Jet Database Engine Could Allow Remote Code Execution (950749)
32398,CRITICAL,CA BrightStor ARCserve Backup Multiple Vulnerabilities (QO92996)
33107,HIGH,MS08-011: Vulnerabilities in Microsoft Works File Converter Could Allow Remote Code Execution (947081)
33130,HIGH,QuickTime < 7.5 Multiple Vulnerabilities (Windows)
33132,HIGH,MS08-030: Vulnerability in Bluetooth Stack Could Allow Remote Code Execution (951376)
33133,HIGH,MS08-031: Cumulative Security Update for Internet Explorer (950759)
33134,MEDIUM,MS08-032: Cumulative Security Update of ActiveX Kill Bits (950760)
33135,HIGH,MS08-033: Vulnerabilities in DirectX Could Allow Remote Code Execution (951698)
33137,HIGH,MS08-036: Vulnerabilities in Pragmatic General Multicast (PGM) Could Allow Denial of Service (950762)
33256,HIGH,Adobe Reader < 7.1.0 / 8.1.2 SU1 Unspecified JavaScript Method Handling Arbitrary Code Execution
33441,MEDIUM,MS08-037: Vulnerabilities in DNS Could Allow Spoofing (953230)
33444,HIGH,MS08-040: Vulnerabilities in Microsoft SQL Server Could Allow Elevation of Privilege (941203)
33486,HIGH,Sun Java J2SE 1.4.2 < Update 18 Multiple Vulnerabilities
33487,HIGH,Sun Java JDK/JRE 5 < Update 16 Multiple Vulnerabilities
33488,HIGH,Sun Java JDK/JRE 6 < Update 7 Multiple Vulnerabilities
33849,HIGH,PHP < 4.4.9 Multiple Vulnerabilities
33870,HIGH,MS08-041: Vulnerability in the ActiveX Control for the Snapshot Viewer for Microsoft Access Could Allow Remote Code Execution (955617)
33871,HIGH,MS08-042: Vulnerabilities in Microsoft Word Could Allow Remote Code Execution (955048)
33872,HIGH,MS08-043: Vulnerabilities in Microsoft Excel Could Allow Remote Code Execution (954066)
33873,MEDIUM,MS08-044: Vulnerabilities in Microsoft Office Filters Could Allow Remote Code Execution (924090)
33874,HIGH,MS08-045: Cumulative Security Update for Internet Explorer (953838)
33875,HIGH,MS08-046: Vulnerability in Microsoft Windows Image Color Management System Could Allow Remote Code Execution (952954)
33877,HIGH,MS08-048: Security Update for Outlook Express and Windows Mail (951066)
33878,HIGH,MS08-049: Vulnerabilities in Event System Could Allow Remote Code Execution (950974)
33879,MEDIUM,MS08-050: Vulnerability in Windows Messenger Could Allow Information Disclosure (955702)
33880,HIGH,MS08-051: Vulnerabilities in Microsoft PowerPoint Could Allow Remote Code Execution (949785)
33881,MEDIUM,MS KB953839: Cumulative Security Update of ActiveX Kill Bits
34119,HIGH,QuickTime < 7.5.5 Multiple Vulnerabilities (Windows)
34120,HIGH,MS08-052: Vulnerabilities in GDI+ Could Allow Remote Code Execution (954593)
34121,HIGH,MS08-053: Vulnerability in Windows Media Encoder 9 Could Allow Remote Code Execution (954156)
34123,HIGH,MS08-055: Vulnerabilities in Microsoft Office Could Allow Remote Code Execution (955047)
34311,HIGH,MS08-040: Microsoft SQL Server Multiple Privilege Escalation (941203) (uncredentialed check)
34393,CRITICAL,CA BrightStor ARCserve Backup RPC Interface (asdbapi.dll) Traversal Arbitrary Command Execution
34402,HIGH,MS08-057: Microsoft Excel Multiple Method Remote Code Execution (956416)
34403,HIGH,MS08-058: Microsoft Internet Explorer Multiple Vulnerabilities (956390)
34406,HIGH,MS08-061: Microsoft Windows Kernel Multiple Privilege Elevation (954211)
34408,HIGH,MS08-063: Microsoft Windows SMB File Name Handling Remote Underflow (957095)
34409,HIGH,MS08-064: Microsoft Windows Virtual Address Descriptors (VAD) Local Privilege Escalation (956841)
34411,HIGH,MS08-066: Microsoft Windows Ancillary Function Driver (afd.sys) Local Privilege Escalation (956803)
34414,MEDIUM,MS KB956391: Cumulative Security Update of ActiveX Kill Bits
34476,CRITICAL,MS08-067: Microsoft Windows Server Service Crafted RPC Request Handling Unspecified Remote Code Execution (958644) (ECLIPSEDWING)
34477,CRITICAL,MS08-067: Microsoft Windows Server Service Crafted RPC Request Handling Remote Code Execution (958644) (ECLIPSEDWING) (uncredentialed check)
34695,HIGH,Adobe Reader < 8.1.3 / 9.0 Multiple Vulnerabilities
34741,HIGH,Flash Player < 9.0.151.0 / 10.0.12.36 Multiple Vulnerabilities (APSB08-18 / APSB08-20 / APSB08-22)
34743,HIGH,MS08-068: Vulnerability in SMB Could Allow Remote Code Execution (957097)
34744,HIGH,MS08-069: Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution (955218)
34769,HIGH,Dropbear SSH Server svr_ses.childpidsize Remote Overflow
34815,HIGH,Adobe AIR < 1.5 Multiple Vulnerabilities (APSB08-23)
35030,HIGH,Sun Java JRE Multiple Vulnerabilities (244986 et al)
35043,HIGH,PHP 5 < 5.2.7 Multiple Vulnerabilities
35067,HIGH,PHP < 5.2.8 Multiple Vulnerabilities
35069,HIGH,MS08-070: Vulnerabilities in Visual Basic 6.0 ActiveX Controls Could Allow Remote Code Execution (932349)
35070,HIGH,MS08-071: Vulnerabilities in GDI+ Could Allow Remote Code Execution (956802)
35071,HIGH,MS08-072: Vulnerabilities in Microsoft Word Could Allow Remote Code Execution (957173)
35072,HIGH,MS08-073: Microsoft Internet Explorer Multiple Vulnerabilities (958215)
35073,HIGH,MS08-074: Microsoft Excel Multiple Method Remote Code Execution (959070)
35075,HIGH,MS08-076: Vulnerabilities in Windows Media Components Could Allow Remote Code Execution (959807)
35221,HIGH,MS08-078: Microsoft Internet Explorer Security Update (960714)
35361,CRITICAL,MS09-001: Vulnerabilities in SMB Could Allow Remote Code Execution (958687)
35362,CRITICAL,MS09-001: Microsoft Windows SMB Vulnerabilities Remote Code Execution (958687) (uncredentialed check)
35437,HIGH,QuickTime < 7.6 Multiple Vulnerabilities (Windows)
35630,HIGH,MS09-002: Cumulative Security Update for Internet Explorer (961260)
35632,HIGH,MS09-004: Vulnerability in Microsoft SQL Server Could Allow Remote Code Execution (959420)
35634,MEDIUM,MS KB960715: Cumulative Security Update of ActiveX Kill Bits
35635,HIGH,MS09-004: Vulnerability in Microsoft SQL Server Could Allow Remote Code Execution (959420) (uncredentialed check)
35742,HIGH,Flash Player 9.0.159.0 / 10.0.22.87 Multiple Vulnerabilities (APSB09-01)
35750,MEDIUM,PHP < 5.2.9 Multiple Vulnerabilities
35806,MEDIUM,Tomcat Sample App cal2.jsp 'time' Parameter XSS
35821,CRITICAL,Adobe Reader < 9.1 / 8.1.4 / 7.1.1 Multiple Vulnerabilities
35822,HIGH,MS09-006: Vulnerabilities in Windows Kernel Could Allow Remote Code Execution (958690)
35823,HIGH,MS09-007: Vulnerability in SChannel Could Allow Spoofing (960225)
36034,HIGH,Sun Java JRE Multiple Vulnerabilities (254569 / 254611 / 254608 ..)
36127,HIGH,Wireshark / Ethereal 0.99.2 to 1.0.6 Multiple Vulnerabilities
36147,HIGH,MS09-009: Vulnerabilities in Microsoft Office Excel Could Cause Remote Code Execution (968557)
36148,HIGH,MS09-010: Vulnerabilities in WordPad and Office Text Converters Could Allow Remote Code Execution (960477)
36149,HIGH,MS09-011: Vulnerability in Microsoft DirectShow Could Allow Remote Code Execution (961373)
36150,HIGH,MS09-012: Vulnerabilities in Windows Could Allow Elevation of Privilege (959454)
36151,HIGH,MS09-013: Vulnerabilities in Windows HTTP Services Could Allow Remote Code Execution (960803)
36152,HIGH,MS09-014: Cumulative Security Update for Internet Explorer (963027)
36153,HIGH,MS09-015: Blended Threat Vulnerability in SearchPath Could Allow Elevation of Privilege (959426)
38742,HIGH,MS09-017: Vulnerabilities in Microsoft Office PowerPoint Could Allow Remote Code Execution (967340)
38746,HIGH,Adobe Reader getAnnots() JavaScript Method PDF Handling Memory Corruption (APSB09-06)
38988,HIGH,QuickTime < 7.6.2 Multiple Vulnerabilities (Windows)
39341,HIGH,MS09-019: Cumulative Security Update for Internet Explorer (969897)
39342,HIGH,MS09-020: Vulnerabilities in Internet Information Services (IIS) Could Allow Elevation of Privilege (970483)
39343,HIGH,MS09-021: Vulnerabilities in Microsoft Office Excel Could Allow Remote Code Execution (969462)
39344,CRITICAL,MS09-022: Vulnerabilities in Windows Print Spooler Could Allow Remote Code Execution (961501)
39346,HIGH,MS09-024: Vulnerability in Microsoft Works Converters Could Allow Remote Code Execution (957632)
39347,HIGH,MS09-025: Vulnerabilities in Windows Kernel Could Allow Elevation of Privilege (968537)
39348,CRITICAL,MS09-026: Vulnerability in RPC Could Allow Elevation of Privilege (970238)
39349,HIGH,MS09-027: Vulnerabilities in Microsoft Office Word Could Allow Remote Code Execution (969514)
39350,MEDIUM,MS KB969898: Cumulative Security Update of ActiveX Kill Bits
39355,HIGH,Adobe Reader < 9.1.2 / 8.1.6 / 7.1.3 Multiple Vulnerabilities
39480,MEDIUM,PHP < 5.2.10 Multiple Vulnerabilities
39564,HIGH,Shockwave Player Crafted Director File Handling Remote Code Execution (APSB09-08)
39622,HIGH,MS09-032: Cumulative Security Update of ActiveX Kill Bits (973346)
39783,HIGH,MS09-043: Vulnerabilities in Microsoft Office Web Components Control Could Allow Remote Code Execution (973472)
39791,HIGH,MS09-028: Vulnerabilities in Microsoft DirectShow Could Allow Remote Code Execution (971633)
39792,HIGH,MS09-029: Vulnerabilities in the Embedded OpenType Font Engine Could Allow Remote Code Execution (961371)
